Token,TradingSymbol,Symbol,Expiry,OptionType,StrikePrice
975527,970MGICL34,,,,
975526,975MGICL34,,,,
975525,820ABHFL27,,,,
975524,940IHFP26,,,,
975523,751BSNL34,,,,
975522,755BSNL34,,,,
975521,748NTPC26,,,,
975520,1110ESFB31,,,,
975519,11ESFB30,,,,
975518,765HDFC34,,,,
975517,14PFSPL26,,,,
975516,825NHL29,,,,
975515,990OFSL27,,,,
975514,1040ERFL27,,,,
975513,10MCSL27,,,,
975512,11HFL26,,,,
975511,975ACP27,,,,
975510,975ACPL27,,,,
975509,746IRFC29,,,,
975508,833ABFL27,,,,
975507,757IREDL29,,,,
975506,1250UCL29,,,,
975505,805KMPL29,,,,
975504,1075LUF25,,,,
975503,1335SHFL27,,,,
975502,10AAHL29,,,,
975501,995AAHL27,,,,
975500,EELGSEC27,,,,
975499,734IIFCL39,,,,
975498,990AKFL26,,,,
975497,780TRCL29,,,,
975496,780TRC28,,,,
975495,780TRCL28,,,,
975494,839JSWSL27,,,,
975493,18MVL27,,,,
975492,12KSPL25,,,,
975491,889KFC34,,,,
975490,889KFC33,,,,
975489,889KFC32,,,,
975488,889KFC31,,,,
975487,889KFC30,,,,
975486,980DFPL27,,,,
975485,755PFC27,,,,
975484,796PIL29,,,,
975483,796PIL28,,,,
975482,796PIL27,,,,
975481,ICFSL7324,,,,
975480,990VCL26,,,,
975479,825SCCL29,,,,
975478,92OPL25,,,,
975477,735PGCIL34,,,,
975476,764ABL34,,,,
975475,1075SSF26A,,,,
975474,975VFSPL27,,,,
975473,835AFL27,,,,
975472,13KCPL27,,,,
975471,AFLZC26,,,,
975470,810IHFC27,,,,
975469,1085SFL25,,,,
975468,PCHTBILL25,,,,
975467,91SFL27A,,,,
975466,1075AFPL26,,,,
975465,1260MFL26,,,,
975464,753IRED34,,,,
975463,975KFIL26,,,,
975462,751MTNL34,,,,
975461,MFLRESET26,,,,
975460,SBFCRESE27,,,,
975459,98024PLD28,,,,
975458,1162AKH25,,,,
975457,805CTIL27,,,,
975456,755DDL39,,,,
975455,820ABHF27,,,,
975454,0MSFL26,,,,
975453,1005MFL29B,,,,
975452,993V6T29,,,,
975451,937V6T27,,,,
975450,93OPL26,,,,
975449,1110ESAF34,,,,
975448,835AFL2026,,,,
975447,995ICFL26C,,,,
975446,935PEL26,,,,
975445,995ICFL26B,,,,
975444,995ICFL26A,,,,
975443,ABFRESET27,,,,
975442,829SBICP34,,,,
975441,885VTPL25,,,,
975440,12SML26,,,,
975439,10MMFL26,,,,
975438,0ADPL27,,,,
975437,995PDL34A,,,,
975436,SBFCTBI25,,,,
975435,SBFCTBIL25,,,,
975434,833HFSL27,,,,
975433,744IRFC34,,,,
975432,841MRHFL29,,,,
975431,1175NCPL26,,,,
975430,AIPLREST29,,,,
975429,AHL22244,,,,
975428,1133LFL26,,,,
975427,12SFIS25,,,,
975426,960HCFSL34,,,,
975425,1325MFL26,,,,
975424,1360DKGF27,,,,
975423,747RL34,,,,
975422,764RL27,,,,
975421,1015KSPL25,,,,
975420,0PMPL29,,,,
975419,NWIL22224,,,,
975418,950AFPL25,,,,
975417,759IREDA34,,,,
975416,KASH170925,,,,
975415,1315MFL26,,,,
975414,135TFL25,,,,
975413,990AFPL27,,,,
975412,1325AFIP27,,,,
975411,865AHFL27,,,,
975410,814AFL29,,,,
975409,757BOB34,,,,
975408,835SBIGI34,,,,
975407,749PFC34,,,,
975406,760PFC29,,,,
975405,MFSLTBIL25,,,,
975404,823KMPL26,,,,
975403,8225KMPL27,,,,
975402,11034BB26,,,,
975401,824HDB27,,,,
975400,788IGT2029,,,,
975399,788IGT29,,,,
975398,127SFIS27,,,,
975397,1075NBSL25,,,,
975396,792BFL34,,,,
975395,115KFPL26,,,,
975394,985KSPL25,,,,
975393,748IRFC34A,,,,
975392,EEL16224,,,,
975391,8BHFL26,,,,
975390,961360OPL27,,,,
975389,809IHFCL26,,,,
975388,804IHFCL29,,,,
975387,76KMBL31,,,,
975386,930JFC26,,,,
975385,930JFCL26,,,,
975384,930JFCL27,,,,
975383,920MOFL34,,,,
975382,788PFCPERP,,,,
975381,816ABFL29,,,,
975380,1075SSF25,,,,
975379,PCHFMIBO25,,,,
975378,806IIL29,,,,
975377,1725SEPL25,,,,
975376,780BHFL34,,,,
975375,1385SML29,,,,
975374,782BFL34,,,,
975373,787BFL34,,,,
975372,838PWFL26A,,,,
975371,838PWFL26,,,,
975370,832KPIL27,,,,
975369,IFSLNIFT26,,,,
975368,835GRIL29,,,,
975367,1250SML26,,,,
975366,GMRIMLD26,,,,
975365,885HHFL27A,,,,
975364,885HHFL27,,,,
975363,93PLUM26,,,,
975362,NUVWEMCX27,,,,
975361,1175AIHF27,,,,
975360,903ONE26A,,,,
975359,1350SIGN25,,,,
975358,768NABAR29,,,,
975357,1150ESPL25,,,,
975356,LENKAMLD26,,,,
975355,8ABHF34,,,,
975354,890ACIL29,,,,
975353,879PCBL29,,,,
975352,8061IHFL26,,,,
975351,819AFL29,,,,
975350,825MMFS27,,,,
975349,1025UCL26,,,,
975348,1160AFPL26,,,,
975347,995ICFL25,,,,
975346,1340TCFL27,,,,
975345,757BOB24,,,,
975344,980DFPL26,,,,
975343,833SBICS34,,,,
975342,829OPAL27,,,,
975341,845MRHF27,,,,
975340,810BFL29,,,,
975339,915SFL29,,,,
975338,1350TFL25,,,,
975337,834SBIPERP,,,,
975336,NWILZC27,,,,
975335,1275SCNL29,,,,
975334,804BHFL27,,,,
975333,834HIT27,,,,
975332,2005SIPP27,,,,
975331,1350TCL27,,,,
975330,757IRFC29,,,,
975329,995PDL34,,,,
975328,835MMFSL34,,,,
975327,860MASF25,,,,
975326,764REC34,,,,
975325,771REC27,,,,
975324,1150SFIS25,,,,
975323,793THDC34,,,,
975322,82BFL26,,,,
975321,840DLFL27,,,,
975320,10MMFL25A,,,,
975319,838AFL34,,,,
975318,1085SCNL26,,,,
975317,820KMPL27,,,,
975316,820KIDF30,,,,
975315,765PGCIL34,,,,
975314,880APSEZ34,,,,
975313,870APSEZ29,,,,
975312,777IREDA27,,,,
975311,817EOPR25,,,,
975310,840DIT26,,,,
975309,875SFL34,,,,
975308,10HFL25,,,,
975307,1025HF26,,,,
975306,1050HFL27B,,,,
975305,945SRSL29,,,,
975304,91JMFPL27,,,,
975303,1015SBL27,,,,
975302,19HWBPL25,,,,
975301,920PLUM27,,,,
975300,1135TTDT26,,,,
975299,1425TULI26,,,,
975298,965HHFL38,,,,
975297,995VT29,,,,
975296,955VT29,,,,
975295,SFLTBIL26,,,,
975294,JMFHRESE27,,,,
975293,829AFL27,,,,
975292,960HCFSL29,,,,
975291,83AFL25,,,,
975290,126MFL25,,,,
975289,845HFSLPER,,,,
975287,RSGPLMLD27,,,,
975286,970MHGIC33,,,,
975285,145LMPF29,,,,
975284,995PDL25,,,,
975283,824KMIL27,,,,
975282,10MCSL26,,,,
975281,855PNBPER,,,,
975280,13EFL29,,,,
975279,81BFL27,,,,
975278,1255NEO25,,,,
975277,1175ESP25A,,,,
975276,KPDL221223,,,,
975275,975VFPL27,,,,
975274,MCIL25A,,,,
975273,895KIIFB31,,,,
975272,895KIIFB33,,,,
975271,895KIIFB32,,,,
975270,895KIIFB30,,,,
975269,895KIIFB29,,,,
975268,895KIIFB28,,,,
975267,895KIIFB27,,,,
